suffix,page,issue,date
5,1,1,05.01.1981
6,2,1,05.01.1981
7,3,1,05.01.1981
8,4,1,05.01.1981
9,5,1,05.01.1981
10,6,1,05.01.1981
11,7,1,05.01.1981
12,8,1,05.01.1981
13,9,1,05.01.1981
14,10,1,05.01.1981
15,11,1,05.01.1981
16,12,1,05.01.1981
17,13,1,05.01.1981
18,14,1,05.01.1981
19,15,1,05.01.1981
20,16,1,05.01.1981
21,17,1,05.01.1981
22,18,1,05.01.1981
23,19,1,05.01.1981
24,20,1,05.01.1981
26,21,2,06.01.1981
27,22,2,06.01.1981
28,23,2,06.01.1981
29,24,2,06.01.1981
30,25,2,06.01.1981
31,26,2,06.01.1981
32,27,2,06.01.1981
33,28,2,06.01.1981
34,29,2,06.01.1981
35,30,2,06.01.1981
36,31,2,06.01.1981
37,32,2,06.01.1981
38,33,2,06.01.1981
39,34,2,06.01.1981
40,35,2,06.01.1981
41,36,2,06.01.1981
43,37,3,07.01.1981
44,38,3,07.01.1981
45,39,3,07.01.1981
46,40,3,07.01.1981
47,41,3,07.01.1981
48,42,3,07.01.1981
49,43,3,07.01.1981
50,44,3,07.01.1981
51,45,3,07.01.1981
52,46,3,07.01.1981
53,47,3,07.01.1981
54,48,3,07.01.1981
55,49,3,07.01.1981
56,50,3,07.01.1981
57,51,3,07.01.1981
58,52,3,07.01.1981
60,53,4,08.01.1981
61,54,4,08.01.1981
62,55,4,08.01.1981
63,56,4,08.01.1981
64,57,4,08.01.1981
65,58,4,08.01.1981
66,59,4,08.01.1981
67,60,4,08.01.1981
68,61,4,08.01.1981
69,62,4,08.01.1981
70,63,4,08.01.1981
71,64,4,08.01.1981
72,65,4,08.01.1981
73,66,4,08.01.1981
74,67,4,08.01.1981
75,68,4,08.01.1981
77,69,5,09.01.1981
78,70,5,09.01.1981
79,71,5,09.01.1981
80,72,5,09.01.1981
81,73,5,09.01.1981
82,74,5,09.01.1981
83,75,5,09.01.1981
84,76,5,09.01.1981
85,77,5,09.01.1981
86,78,5,09.01.1981
87,79,5,09.01.1981
88,80,5,09.01.1981
90,81,6,10.01.1981
91,82,6,10.01.1981
92,83,6,10.01.1981
93,84,6,10.01.1981
94,85,6,10.01.1981
95,86,6,10.01.1981
96,87,6,10.01.1981
97,88,6,10.01.1981
98,89,6,10.01.1981
99,90,6,10.01.1981
100,91,6,10.01.1981
101,92,6,10.01.1981
103,93,7,12.01.1981
104,94,7,12.01.1981
105,95,7,12.01.1981
106,96,7,12.01.1981
107,97,7,12.01.1981
108,98,7,12.01.1981
109,99,7,12.01.1981
110,100,7,12.01.1981
111,101,7,12.01.1981
112,102,7,12.01.1981
113,103,7,12.01.1981
114,104,7,12.01.1981
115,105,7,12.01.1981
116,106,7,12.01.1981
117,107,7,12.01.1981
118,108,7,12.01.1981
120,109,8,13.01.1981
121,110,8,13.01.1981
122,111,8,13.01.1981
123,112,8,13.01.1981
124,113,8,13.01.1981
125,114,8,13.01.1981
126,115,8,13.01.1981
127,116,8,13.01.1981
128,117,8,13.01.1981
129,118,8,13.01.1981
130,119,8,13.01.1981
131,120,8,13.01.1981
