suffix,page,issue,date
5,1,1,03.01.1962
6,2,1,03.01.1962
7,3,1,03.01.1962
8,4,1,03.01.1962
9,5,1,03.01.1962
10,6,1,03.01.1962
11,7,1,03.01.1962
12,8,1,03.01.1962
13,9,1,03.01.1962
14,10,1,03.01.1962
15,11,1,03.01.1962
16,12,1,03.01.1962
18,13,2,04.01.1962
19,14,2,04.01.1962
20,15,2,04.01.1962
21,16,2,04.01.1962
22,17,2,04.01.1962
23,18,2,04.01.1962
24,19,2,04.01.1962
25,20,2,04.01.1962
26,21,2,04.01.1962
27,22,2,04.01.1962
28,23,2,04.01.1962
29,24,2,04.01.1962
31,25,3,05.01.1962
32,26,3,05.01.1962
33,27,3,05.01.1962
34,28,3,05.01.1962
35,29,3,05.01.1962
36,30,3,05.01.1962
37,31,3,05.01.1962
38,32,3,05.01.1962
39,33,3,05.01.1962
40,34,3,05.01.1962
41,35,3,05.01.1962
42,36,3,05.01.1962
44,37,4,06.01.1962
45,38,4,06.01.1962
46,39,4,06.01.1962
47,40,4,06.01.1962
48,41,4,06.01.1962
49,42,4,06.01.1962
50,43,4,06.01.1962
51,44,4,06.01.1962
52,45,4,06.01.1962
53,46,4,06.01.1962
54,47,4,06.01.1962
55,48,4,06.01.1962
57,49,5,08.01.1962
58,50,5,08.01.1962
59,51,5,08.01.1962
60,52,5,08.01.1962
61,53,5,08.01.1962
62,54,5,08.01.1962
63,55,5,08.01.1962
64,56,5,08.01.1962
65,57,5,08.01.1962
66,58,5,08.01.1962
67,59,5,08.01.1962
68,60,5,08.01.1962
69,61,5,08.01.1962
70,62,5,08.01.1962
71,63,5,08.01.1962
72,64,5,08.01.1962
74,65,6,09.01.1962
75,66,6,09.01.1962
76,67,6,09.01.1962
77,68,6,09.01.1962
78,69,6,09.01.1962
79,70,6,09.01.1962
80,71,6,09.01.1962
81,72,6,09.01.1962
82,73,6,09.01.1962
83,74,6,09.01.1962
84,75,6,09.01.1962
85,76,6,09.01.1962
87,77,7,10.01.1962
88,78,7,10.01.1962
89,79,7,10.01.1962
90,80,7,10.01.1962
91,81,7,10.01.1962
92,82,7,10.01.1962
93,83,7,10.01.1962
94,84,7,10.01.1962
95,85,7,10.01.1962
96,86,7,10.01.1962
97,87,7,10.01.1962
98,88,7,10.01.1962
100,89,8,11.01.1962
101,90,8,11.01.1962
102,91,8,11.01.1962
103,92,8,11.01.1962
104,93,8,11.01.1962
105,94,8,11.01.1962
106,95,8,11.01.1962
107,96,8,11.01.1962
108,97,8,11.01.1962
109,98,8,11.01.1962
110,99,8,11.01.1962
111,100,8,11.01.1962
112,101,8,11.01.1962
113,102,8,11.01.1962
114,103,8,11.01.1962
115,104,8,11.01.1962
117,105,9,12.01.1962
118,106,9,12.01.1962
119,107,9,12.01.1962
120,108,9,12.01.1962
121,109,9,12.01.1962
122,110,9,12.01.1962
123,111,9,12.01.1962
124,112,9,12.01.1962
125,113,9,12.01.1962
126,114,9,12.01.1962
127,115,9,12.01.1962
128,116,9,12.01.1962
129,117,9,12.01.1962
130,118,9,12.01.1962
131,119,9,12.01.1962
132,120,9,12.01.1962
134,121,10,13.01.1962
