suffix,page,issue,date
5,1,1,03.01.1898
6,2,1,03.01.1898
7,3,1,03.01.1898
8,4,1,03.01.1898
10,5,2,04.01.1898
11,6,2,04.01.1898
12,7,2,04.01.1898
13,8,2,04.01.1898
15,9,3,05.01.1898
16,10,3,05.01.1898
17,11,3,05.01.1898
18,12,3,05.01.1898
20,13,4,06.01.1898
21,14,4,06.01.1898
22,15,4,06.01.1898
23,16,4,06.01.1898
25,17,5,07.01.1898
26,18,5,07.01.1898
27,19,5,07.01.1898
28,20,5,07.01.1898
30,21,6,08.01.1898
31,22,6,08.01.1898
32,23,6,08.01.1898
33,24,6,08.01.1898
35,25,7,10.01.1898
36,26,7,10.01.1898
37,27,7,10.01.1898
38,28,7,10.01.1898
39,29,7,10.01.1898
40,30,7,10.01.1898
42,31,8,11.01.1898
43,32,8,11.01.1898
44,33,8,11.01.1898
45,34,8,11.01.1898
47,35,9,12.01.1898
48,36,9,12.01.1898
49,37,9,12.01.1898
50,38,9,12.01.1898
52,39,10,12.01.1898
53,40,10,12.01.1898
54,41,10,12.01.1898
55,42,10,12.01.1898
57,43,11,13.01.1898
58,44,11,13.01.1898
59,45,11,13.01.1898
60,46,11,13.01.1898
62,47,12,14.01.1898
63,48,12,14.01.1898
64,49,12,14.01.1898
65,50,12,14.01.1898
67,51,13,15.01.1898
68,52,13,15.01.1898
69,53,13,15.01.1898
70,54,13,15.01.1898
71,55,13,15.01.1898
72,56,13,15.01.1898
74,57,14,17.01.1898
75,58,14,17.01.1898
76,59,14,17.01.1898
77,60,14,17.01.1898
79,61,15,18.01.1898
80,62,15,18.01.1898
81,63,15,18.01.1898
82,64,15,18.01.1898
84,65,16,19.01.1898
85,66,16,19.01.1898
86,67,16,19.01.1898
87,68,16,19.01.1898
89,69,17,20.01.1898
90,70,17,20.01.1898
91,71,17,20.01.1898
92,72,17,20.01.1898
94,73,18,21.01.1898
95,74,18,21.01.1898
96,75,18,21.01.1898
97,76,18,21.01.1898
99,77,19,22.01.1898
100,78,19,22.01.1898
101,79,19,22.01.1898
102,80,19,22.01.1898
104,81,20,24.01.1898
105,82,20,24.01.1898
